Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
EF,Fertilizers,184,Rwanda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,0.33,Fc,Calculated data
EF,Fertilizers,184,Rwanda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,0,Fc,Calculated data
EF,Fertilizers,184,Rwanda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,0.02,Fc,Calculated data
EF,Fertilizers,184,Rwanda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,1.77,Fc,Calculated data
EF,Fertilizers,184,Rwanda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,3,Fc,Calculated data
EF,Fertilizers,184,Rwanda,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,3.34,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,0,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,0.25,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,1,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,2.5,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,0,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,0,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,3,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,3.79,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,2,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,3.52,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,20.42,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,32.43,Fc,Calculated data
EF,Fertilizers,196,Seychelles,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,8.11,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2002,2002,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2003,2003,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2004,2004,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2005,2005,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2006,2006,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2007,2007,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2008,2008,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2009,2009,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,0,Fc,Calculated data
EF,Fertilizers,201,Somalia,5159,Average use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,0,Fc,Calculated data
